"id","category","de","en","context","limit","status","note"
"building.A_ARKADE.tier1.eff","building","Farbblock-Transparenz (Stufe III: wird zum Farbblock-Joker: die Zelle zählt als passende Farbe)","","Architekt-Gebäude „Arkade"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ARKADE.tier2.eff","building","Farbblock-Transparenz (Stufe III: wird zum Farbblock-Joker: die Zelle zählt als passende Farbe) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Arkade"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ARKADE.tier3.eff","building","Farbblock-Transparenz · wird zum Farbblock-Joker: die Zelle zählt als passende Farbe · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Arkade"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BASILIKA.legendary.eff","building","Formations-Joker (Wiederholung/Farbblock/Treppe/Wechsel)","","Architekt-Gebäude „Basilika"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BOLLWERK.legendary.eff","building","alle Abgedeckten +6 Stichwert","","Architekt-Gebäude „Bollwerk"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier1.eff","building","passende Farbe +3 Stichwert","","Architekt-Gebäude „Buntglas"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier2.eff","building","passende Farbe +5 Stichwert","","Architekt-Gebäude „Buntglas"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier3.eff","building","passende Farbe +7 Stichwert","","Architekt-Gebäude „Buntglas"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier4.eff","building","passende Farbe +9 Stichwert","","Architekt-Gebäude „Buntglas"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier1.eff","building","höchste Karte +3 Stichwert","","Architekt-Gebäude „Firstträger"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier2.eff","building","höchste Karte +5 Stichwert","","Architekt-Gebäude „Firstträger"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier3.eff","building","höchste Karte +7 Stichwert","","Architekt-Gebäude „Firstträger"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier4.eff","building","höchste Karte +9 Stichwert","","Architekt-Gebäude „Firstträger"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FRIES.tier1.eff","building","Formations-Joker (Wiederholung) (Stufe III: zweiter Joker-Typ: Farbblock)","","Architekt-Gebäude „Fries"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FRIES.tier2.eff","building","Formations-Joker (Wiederholung) (Stufe III: zweiter Joker-Typ: Farbblock) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Fries"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FRIES.tier3.eff","building","Formations-Joker (Wiederholung/Farbblock) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Fries"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FUNDAMENT.legendary.eff","building","alle Abgedeckten +5 Stichwert","","Architekt-Gebäude „Fundamentplatte"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GEWOELBE.tier1.eff","building","Formations-Joker (Wiederholung/Treppe) (Stufe III: zweiter Joker-Typ: Farbblock)","","Architekt-Gebäude „Gewölbe"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GEWOELBE.tier2.eff","building","Formations-Joker (Wiederholung/Treppe) (Stufe III: zweiter Joker-Typ: Farbblock) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Gewölbe"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GEWOELBE.tier3.eff","building","Formations-Joker (Wiederholung/Treppe/Farbblock) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Gewölbe"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier1.eff","building","höchste Karte +160 Score","","Architekt-Gebäude „Giebel"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier2.eff","building","höchste Karte +240 Score","","Architekt-Gebäude „Giebel"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier3.eff","building","höchste Karte +352 Score","","Architekt-Gebäude „Giebel"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GIEBEL.tier4.eff","building","höchste Karte +496 Score","","Architekt-Gebäude „Giebel"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier1.eff","building","jede Zelle zählt als Anker (×1,10) (Stufe III: +2 Stichwert je Ankerzelle)","","Architekt-Gebäude „Grundstein"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier2.eff","building","jede Zelle zählt als Anker (×1,23) (Stufe III: +2 Stichwert je Ankerzelle)","","Architekt-Gebäude „Grundstein"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier3.eff","building","jede Zelle zählt als Anker (×1,36) · +2 Stichwert je Ankerzelle","","Architekt-Gebäude „Grundstein"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GRUNDSTEIN.tier4.eff","building","jede Zelle zählt als Anker (×1,49) · +2 Stichwert je Ankerzelle","","Architekt-Gebäude „Grundstein"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KATHEDRALE.legendary.eff","building","Formationen hier ×1,40","","Architekt-Gebäude „Kathedrale"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KLAMMER.tier1.eff","building","Formations-Joker (Farbblock) (Stufe III: zweiter Joker-Typ: Wiederholung)","","Architekt-Gebäude „Klammer"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KLAMMER.tier2.eff","building","Formations-Joker (Farbblock) (Stufe III: zweiter Joker-Typ: Wiederholung) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Klammer"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KLAMMER.tier3.eff","building","Formations-Joker (Farbblock/Wiederholung) · dazu +1 Stichwert auf jeder Zelle","","Architekt-Gebäude „Klammer"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier1.eff","building","Sieg +65 Score (Stufe IV: bei Crit ×2 Direkt-Score)","","Architekt-Gebäude „Kontor"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier2.eff","building","Sieg +98 Score (Stufe IV: bei Crit ×2 Direkt-Score)","","Architekt-Gebäude „Kontor"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier3.eff","building","Sieg +143 Score (Stufe IV: bei Crit ×2 Direkt-Score)","","Architekt-Gebäude „Kontor"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier4.eff","building","Sieg +202 Score · bei Crit ×2 Direkt-Score","","Architekt-Gebäude „Kontor"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier1.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±1 abweichen","","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier2.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±2 abweichen","","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier3.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±3 abweichen","","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier4.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±3 abweichen · dazu +2 Stichwert auf jeder Zelle","","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier1.eff","building","reicht +50 Score ans Feld rechts weiter","","Architekt-Gebäude „Laufgang"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier2.eff","building","reicht +75 Score ans Feld rechts weiter","","Architekt-Gebäude „Laufgang"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier3.eff","building","reicht +110 Score ans Feld rechts weiter","","Architekt-Gebäude „Laufgang"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier4.eff","building","reicht +155 Score ans Feld rechts weiter","","Architekt-Gebäude „Laufgang"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LEUCHTTURM.legendary.eff","building","strahlt +100 Score in beide Nachbarfelder","","Architekt-Gebäude „Leuchtturm"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier1.eff","building","Crit-Sieg +90 Score · Sieg ohne Crit −15 Score","","Architekt-Gebäude „Losbude"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
